id,"title","shop",start_datetime,"img_url",view_count,ticket_price,"venue","body","remarks",created_at,updated_at

1,"ワンダフル山口2024","",2024-03-16 10:00:00,"wonderfuldogfes2024",0,1000,"山口県きらら博維新公園","中・四国地方最大級のドッグフェス山口きらら博記念公園で開催","", 2024-09-01 15:00:00,2024-09-01 15:00:00

2,"ワン★パチ","", 2024-03-20 10:00:00 ,"onepachi2024",0,0,"蜂ヶ峯総合公園","和木町・蜂ヶ峯総合公園で初！<br>わんちゃんも一緒に楽しめるイベントを開催‼️<br><br>わんちゃんと一緒にお越しくださるかたはもちろん、蜂ヶ峯総合公園を利用するファミリーの皆さまに楽しんでいただけます！","", 2024-09-01 15:00:00,2024-09-01 15:00:00

3,"ワンダフル山口2025","",2025-04-19 10:00:00,"wonderfuldogfes2025",0,1000,"山口県きらら博維新公園","中・四国地方最大級のドッグフェス山口きらら博記念公園で開催","", 2024-09-01 15:00,2024-09-01 15:00:00

4,"【あなたの防災対策がペットの命を守る】~ 災害時のペット避難を考える ~","hanakage",2025-11-10 10:00:00,"hanakage01",0,1000,"ドッグサロン花陰","ご予約受付け中🙌！！！（先着‼️）<br>◇◆◇【第1回】 11月10日(日) ◇◆◇<br>飼い主と愛犬の防災対策研修<br>・家庭の防災対策<br>・ペット避難の心得<br>・ペットの健康<br>・ペット用防災用品<br>・ペット避難の現状<br>・しつけ方教室<br><br>◆◇◆ 【第2回】11月24日(日) ◆◇◆<br>＝愛犬同伴車中泊訓練＝<br>⚠️第1回研修を受けた方のみ参加できます⚠️<br>・山口トヨペット車中泊仕様車の見学<br>・車中泊の心得<br>・炊出し試食体験<br>・飼育者の健康管理<br>・車中でのペットケア<br><br>","《お持ち物》<br>★混合ワクチン接種証明書（1年以内）<br>★狂犬病ワクチン接種証明書（1年以内）<br>・お気に入りのおやつ等<br>・首輪、リード、ハーネスなど<br>・キャリー（お持ちの方）<br><br>《ご予約》<br>ドッグサロン花陰　店頭・お電話・SNSにて！<br>ご予約時に、【両日参加 or 第1回のみ参加】と<br>①代表者さまお名前<br>②参加人数<br>③お子様がいる場合は年齢<br>④犬種（頭数）<br>⑤犬の年齢・オスorメス<br>⑥電話番号<br>⑦キャリー持参の有無<br>以上をお伝えください", 2024-09-01 15:00,2024-09-01 15:00:00
